x,y
1,3.306152932686193
2,2.0598441048672966
3,1.2359908983353232
4,1.078051115792904
5,1.0250155791912023
6,0.9650129199940971
7,0.9021011815584771
8,0.8182841205006188
9,0.5875705818116334
10,0.3172086607057134
11,0.28820824871232587
12,0.2469892436199057
13,0.18447866910503877
