k,mse
1,1.0000000000000004
2,0.822869131039506
3,0.7334204646039614
4,0.676389965121263
5,0.6402608150021261
6,0.586040874006494
7,0.5916222417100132
8,0.5242302074322266
9,0.5064263649268645
10,0.4812359194051377
