artist_count,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10
3.0,6036.0,843957510.0,113.0,245.0,98.0,71.0,17.0,61.0,36.0,0.0,8.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0
1.0,9082.0,999748277.0,242.0,165.0,97.0,64.0,51.0,63.0,12.0,0.0,19.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
2.0,4284.0,618990393.0,115.0,184.0,180.0,72.0,61.0,63.0,67.0,0.0,9.0,28.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,0.0,7.0,7.0
8.0,1150.0,123122413.0,22.0,34.0,120.0,81.0,63.0,68.0,11.0,0.0,11.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,9.0
2.0,672.0,188933502.0,19.0,24.0,150.0,61.0,39.0,73.0,37.0,0.0,11.0,3.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,0.0,4.0,5.0
1.0,11434.0,1355959075.0,154.0,410.0,96.0,75.0,57.0,68.0,9.0,0.0,13.0,6.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
1.0,7830.0,786181836.0,94.0,151.0,95.0,60.0,48.0,79.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,4.0,0.0,2.0
1.0,584.0,176553476.0,16.0,15.0,125.0,79.0,96.0,85.0,27.0,0.0,11.0,6.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
2.0,692.0,354495408.0,10.0,6.0,144.0,56.0,84.0,65.0,23.0,0.0,10.0,6.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
2.0,24094.0,2808096550.0,372.0,843.0,90.0,76.0,91.0,50.0,54.0,0.0,7.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
2.0,12482.0,1109433169.0,291.0,537.0,128.0,56.0,38.0,97.0,4.0,0.0,35.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
3.0,13387.0,1047101291.0,77.0,247.0,79.0,56.0,58.0,56.0,37.0,0.0,11.0,10.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,2.0
3.0,1117.0,65156199.0,82.0,65.0,144.0,77.0,75.0,58.0,52.0,0.0,23.0,25.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,8.0,7.0
1.0,3372.0,570515054.0,65.0,138.0,122.0,67.0,49.0,64.0,10.0,0.0,10.0,3.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,4.0,6.0,5.0
1.0,8431.0,1085685420.0,241.0,458.0,140.0,71.0,82.0,81.0,11.0,0.0,6.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
1.0,2483.0,1647990401.0,68.0,24.0,134.0,59.0,51.0,52.0,9.0,0.0,15.0,7.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,4.0,0.0,2.0
2.0,3408.0,518745108.0,87.0,74.0,67.0,53.0,50.0,53.0,23.0,0.0,44.0,7.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,1.0,6.0,5.0
3.0,1298.0,107753850.0,44.0,57.0,106.0,72.0,17.0,64.0,7.0,0.0,10.0,5.0,0.0,1.0,2.0,1.0,0.0,5.0,4.0,4.0,4.0,2.0
3.0,4277.0,177740666.0,145.0,213.0,128.0,60.0,23.0,91.0,0.0,0.0,12.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,1133.0,153372011.0,14.0,23.0,107.0,92.0,55.0,70.0,18.0,0.0,15.0,7.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,2259.0,57876440.0,0.0,109.0,130.0,67.0,96.0,88.0,12.0,19.0,8.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,2649.0,256483385.0,67.0,57.0,137.0,64.0,88.0,72.0,51.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
1.0,6804.0,1214083358.0,139.0,161.0,125.0,84.0,85.0,68.0,58.0,0.0,22.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
1.0,525.0,16011326.0,34.0,39.0,128.0,86.0,42.0,72.0,59.0,0.0,9.0,19.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,5.0
1.0,7923.0,812019557.0,106.0,142.0,130.0,61.0,53.0,58.0,55.0,0.0,27.0,4.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0
2.0,731.0,111947664.0,27.0,73.0,130.0,86.0,59.0,96.0,50.0,1.0,9.0,5.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,6.0,6.0
2.0,5184.0,156338624.0,154.0,102.0,133.0,70.0,86.0,81.0,25.0,0.0,25.0,5.0,0.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,8.0,7.0
3.0,3107.0,720434240.0,38.0,4.0,101.0,88.0,72.0,59.0,62.0,0.0,9.0,3.0,0.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,1.0
2.0,4053.0,357925728.0,82.0,182.0,95.0,77.0,53.0,64.0,74.0,0.0,17.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,7.0,3.0
2.0,4637.0,674072710.0,63.0,89.0,98.0,90.0,40.0,59.0,0.0,0.0,10.0,29.0,0.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,4.0,1.0
1.0,3818.0,404562836.0,37.0,32.0,90.0,64.0,10.0,62.0,7.0,0.0,48.0,7.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,2.0,1.0
1.0,3506.0,373199958.0,105.0,169.0,198.0,59.0,71.0,42.0,55.0,0.0,10.0,7.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,3.0,3.0,8.0
1.0,410.0,14780425.0,36.0,31.0,140.0,56.0,48.0,73.0,0.0,0.0,35.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,6.0
1.0,148.0,39578178.0,32.0,8.0,82.0,51.0,22.0,53.0,1.0,0.0,15.0,3.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
2.0,1004.0,54266102.0,42.0,58.0,130.0,77.0,84.0,89.0,17.0,0.0,43.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0,6.0,1.0,6.0
1.0,22543.0,2557975762.0,386.0,707.0,81.0,76.0,53.0,53.0,44.0,0.0,9.0,9.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,4.0,0.0,2.0
